dataset	display_name	readout	value
Mouse 500 µg 1x 1wk	ASO 7	Thoracic Cord Gfap qPCR	1.149
Mouse 500 µg 1x 1wk	ASO 8	Thoracic Cord Gfap qPCR	1.083
Mouse 500 µg 1x 1wk	ASO 4	Thoracic Cord Gfap qPCR	0.754
Mouse 500 µg 1x 1wk	PBS	Thoracic Cord Gfap qPCR	0.947
Mouse 500 µg 1x 1wk	ASO F	Thoracic Cord Gfap qPCR	0.992
Mouse 500 µg 1x 1wk	ASO A	Thoracic Cord Gfap qPCR	0.968
Mouse 500 µg 1x 1wk	ASO C	Thoracic Cord Gfap qPCR	0.995
Mouse 500 µg 1x 1wk	ASO D	Thoracic Cord Gfap qPCR	0.96
Mouse 500 µg 1x 1wk	ASO B	Thoracic Cord Gfap qPCR	1.088
Mouse 500 µg 1x 1wk	ASO G	Thoracic Cord Gfap qPCR	0.951
Mouse 500 µg 1x 1wk	ASO E	Thoracic Cord Gfap qPCR	0.938
Mouse 500 µg 1x 1wk	ASO I	Thoracic Cord Gfap qPCR	1.119
Mouse 500 µg 1x 1wk	ASO 5	Thoracic Cord Gfap qPCR	0.054
Mouse 500 µg 1x 1wk	ASO 6	Thoracic Cord Gfap qPCR	0.971
Mouse 500 µg 1x 1wk	ASO 2	Thoracic Cord Gfap qPCR	0.929
Mouse 500 µg 1x 1wk	ASO 3	Thoracic Cord Gfap qPCR	0.797
Mouse 500 µg 1x 1wk	ASO 1	Thoracic Cord Gfap qPCR	0.931
Mouse 500 µg 1x 1wk	ASO 7	Thoracic Cord Gfap qPCR	1.069
Mouse 500 µg 1x 1wk	ASO 8	Thoracic Cord Gfap qPCR	1.13
Mouse 500 µg 1x 1wk	ASO 4	Thoracic Cord Gfap qPCR	0.882
Mouse 500 µg 1x 1wk	PBS	Thoracic Cord Gfap qPCR	1.195
Mouse 500 µg 1x 1wk	ASO F	Thoracic Cord Gfap qPCR	1.066
Mouse 500 µg 1x 1wk	ASO A	Thoracic Cord Gfap qPCR	0.863
