treatment	stain	dosed_dpi	harvest_dpi	animal	mean_ihc_score
ASO 4	PrP	30	150	1	1.0833333333333333
ASO 4	PrP	30	150	2	1.1666666666666667
ASO 4	PrP	30	150	3	1.3333333333333333
ASO 4	PrP	30	150	4	1.75
ASO 4	PrP	60	150	1	1
ASO 4	PrP	60	150	2	1.1818181818181819
ASO 4	PrP	60	150	3	1.625
ASO 4	PrP	60	150	4	0.75
ASO 4	PrP	90	150	1	0.3333333333333333
ASO 4	PrP	90	150	2	0.9166666666666666
ASO 4	PrP	90	150	3	1
ASO 4	PrP	90	150	4	0.8333333333333334
ASO 4	PrP	123	150	1	0.9166666666666666
ASO 4	PrP	123	150	2	0.9090909090909091
ASO 4	PrP	123	150	3	1
ASO 4	PrP	123	150	4	1.5
ASO 5	ASO	-14	150	1	0.8461538461538461
ASO 5	ASO	-14	150	2	0.5384615384615384
ASO 5	ASO	-14	150	3	0.7692307692307693
ASO 5	ASO	-14	150	4	0.7692307692307693
ASO 5	ASO	30	150	1	1.3076923076923077
ASO 5	ASO	30	150	2	2.0833333333333335
ASO 5	ASO	30	150	3	1.1666666666666667
ASO 5	ASO	30	150	4	2.4
ASO 5	ASO	60	150	1	1.3846153846153846
ASO 5	ASO	60	150	2	0.3076923076923077
ASO 5	ASO	60	150	3	1.2307692307692308
ASO 5	ASO	60	150	4	1
ASO 5	ASO	90	122	1	2.6923076923076925
ASO 5	ASO	90	122	2	2.8333333333333335
ASO 5	ASO	90	122	3	2.6153846153846154
ASO 5	ASO	90	122	4	2.8461538461538463
ASO 5	ASO	123	139	1	2.8461538461538463
ASO 5	ASO	123	139	2	2.769230769230769
ASO 5	ASO	123	139	3	2.8461538461538463
ASO 5	ASO	123	139	4	2.8461538461538463
ASO 5	GFAP	-14	150	1	0.3333333333333333
ASO 5	GFAP	-14	150	2	0.5
ASO 5	GFAP	-14	150	3	0.4166666666666667
ASO 5	GFAP	-14	150	4	0.3333333333333333
ASO 5	GFAP	30	150	1	0.5833333333333334
ASO 5	GFAP	30	150	2	0.7
ASO 5	GFAP	30	150	3	0.7272727272727273
ASO 5	GFAP	30	150	4	0.8571428571428571
ASO 5	GFAP	60	150	1	0.5
ASO 5	GFAP	60	150	2	1.3333333333333333
ASO 5	GFAP	60	150	3	0.6
ASO 5	GFAP	60	150	4	0.6666666666666666
ASO 5	GFAP	90	122	1	0.9166666666666666
ASO 5	GFAP	90	122	2	1.25
ASO 5	GFAP	90	122	3	1
ASO 5	GFAP	90	122	4	1.3636363636363635
ASO 5	GFAP	123	139	1	
ASO 5	GFAP	123	139	2	1.0833333333333333
ASO 5	GFAP	123	139	3	0.25
ASO 5	GFAP	123	139	4	1.1666666666666667
ASO 5	Iba1	-14	150	1	0.08333333333333333
ASO 5	Iba1	-14	150	2	0.3333333333333333
ASO 5	Iba1	-14	150	3	0.25
ASO 5	Iba1	-14	150	4	0.08333333333333333
ASO 5	Iba1	30	150	1	0.25
ASO 5	Iba1	30	150	2	0
