our_dpi	aguzzi_dpi	gene	this_study_log2fc	sorce_nuvolone_log2fc	this_study_padj	sorce_nuvolone_p_bonf	celltype
89	84	Lima1	0.00656643933998456	-0.1124	0.999662388620542	1	0_none
89	84	Cops4	-0.00466197998200062	0.02155	0.999662388620542	1	0_none
89	84	Grpel1	0.00562864012909744	-0.01237	0.999662388620542	1	0_none
89	84	Clint1	0.00642619631816765	-0.05286	0.999662388620542	1	0_none
89	84	Pkia	-0.00355200487882553	-0.2215	0.999662388620542	1	0_none
89	84	Ankrd27	-0.00524361900274293	0.1701	0.999662388620542	1	0_none
89	84	Cabin1	0.00588699689284455	0.1667	0.999662388620542	1	0_none
89	84	Kctd16	0.00882025986755325	-0.3246	0.999662388620542	1	0_none
89	84	Pdpk1	0.00586167926178229	-0.05131	0.999662388620542	1	0_none
89	84	Phf23	0.00441399076382891	-0.0633	0.999662388620542	1	0_none
89	84	1600014C10Rik	-0.00789924296712602	0.06175	0.999662388620542	1	0_none
89	84	Rassf3	0.00576580741714375	-0.2051	0.999662388620542	1	0_none
89	84	Pank1	0.00634737691447221	-0.03309	0.999662388620542	1	0_none
89	84	Adra2a	0.00656116025551837	0.1839	0.999662388620542	1	0_none
89	84	Cdc25b	0.00670772838337223	0.02044	0.999662388620542	1	0_none
89	84	Zfp933	0.00823458274270227	-0.2772	0.999662388620542	1	0_none
89	84	Habp4	0.00295871911236518	0.12	0.999662388620542	1	0_none
89	84	Mto1	-0.00657737971758706	0.01068	0.999662388620542	1	0_none
89	84	Cs	0.00347903045536144	0.03396	0.999662388620542	1	0_none
89	84	Tars2	0.00810603964630865	0.06857	0.999662388620542	1	0_none
89	84	Axin2	-0.00892780413234163	0.01895	0.999662388620542	1	0_none
89	84	Cobl	-0.00528345775416898	-0.004768	0.999662388620542	1	0_none
89	84	Cluap1	-0.00597218881795348	-0.02065	0.999662388620542	1	0_none
89	84	Arf1	-0.00227167611630837	0.12	0.999662388620542	1	0_none
89	84	Ppip5k1	-0.00783312852243096	-0.04249	0.999662388620542	1	0_none
89	84	Naca	0.00290058550968345	-0.0419	0.999662388620542	1	0_none
89	84	Rcan3	0.00694238312475994	-0.004034	0.999662388620542	1	0_none
89	84	Dars	-0.00774560385106991	-0.1236	0.999662388620542	1	0_none
89	84	Plxnb1	-0.00656801155657568	0.2499	0.999662388620542	1	0_none
89	84	Calm2	-0.00503395405826092	-0.03233	0.999662388620542	1	0_none
89	84	Mapk1	0.00446770558020106	0.02566	0.999662388620542	1	0_none
89	84	Dlgap3	-0.00481692088476118	0.5782	0.999662388620542	4.2598753999999997e-4	0_none
89	84	Zscan21	0.00864947983624389	-0.05794	0.999662388620542	1	0_none
89	84	Armcx4	0.00813775753647575	0.1365	0.999662388620542	1	0_none
89	84	Ccdc12	-0.00675595334237496	0.228	0.999662388620542	1	0_none
89	84	Sfpq	-0.00396477477940148	-0.1421	0.999662388620542	1	0_none
89	84	Ppargc1b	0.0102620345718909	0.4308	0.999662388620542	1	0_none
89	84	Slc7a4	-0.00613751574487988	0.2297	0.999662388620542	1	0_none
89	84	Ccni	0.0031765425352157	-0.04261	0.999662388620542	1	0_none
89	84	Igfbp2	-0.00643076332675689	-0.2296	0.999662388620542	1	0_none
89	84	Bfar	0.00526082663429479	-0.03614	0.999662388620542	1	0_none
89	84	Zfp318	-0.00782384157746459	-0.1288	0.999662388620542	1	0_none
89	84	Ufsp1	-0.0091309379694725	0.1481	0.999662388620542	1	0_none
89	84	Zfp322a	-0.00616567332134453	-0.203	0.999662388620542	1	0_none
89	84	Rlf	-0.00724435502567689	-0.2034	0.999662388620542	1	0_none
