gene	log2fold_change	base_mean	pvalue	padj	celltype
Grik5	-0.08561531847489594	83.81571463365837	0.27034593270137836	0.6692926901568946	0_none
Plpp2	0.1684672461303885	17.532419997581894	0.2703074755526275	0.6692926901568946	0_none
B930025P03Rik	0.5684974768577704	1.7320802494400052	0.2700195019740072	0.6691774545790405	0_none
Dcbld1	-0.14910254265314224	20.381475989996733	0.2701344848363584	0.6691774545790405	0_none
Fam184b	-0.23080665691813168	7.971361106005778	0.27013699316606493	0.6691774545790405	0_none
Gm10269	1.098376174321704	4.2753632478814065	0.2701586825272192	0.6691774545790405	0_none
Stx1b	-0.12051906413333	184.6198601516867	0.27018098926917383	0.6691774545790405	0_none
Sugp2	-0.06787486267813474	114.07878138936366	0.2700515024708433	0.6691774545790405	0_none
Zc3h15	0.07782499127004273	129.8989449661677	0.2699856672480396	0.6691774545790405	0_none
Abraxas2	0.10197432371525464	47.270044421470246	0.2698613988143522	0.6690700216838948	0_none
Gm45441	-0.33353690659412805	4.114377254137312	0.2697585543597749	0.6690700216838948	0_none
Ripk3	0.7946819527413611	0.8331545923995111	0.26983068372848795	0.6690700216838948	0_none
Rps19bp1	0.11209692458909278	40.46708762243676	0.26985554338333206	0.6690700216838948	0_none
Capza1	0.12397708862278728	91.17873088390398	0.2696771662203246	0.669065331135467	0_none
Fam227a	0.15605499231460662	19.602243330934922	0.269663106140273	0.669065331135467	0_none
Gm45871	0.24236917809408076	7.542754251634749	0.2697016712851449	0.669065331135467	0_none
Gm16168	-0.7035698275973246	1.0518473564999893	0.2696013235691312	0.669065331135467	1_oligodendrocyte
Cks1b	0.18715109944032288	20.904761995906963	0.269537210092162	0.6690488851299515	0_none
B230217O12Rik	-0.18217315582523824	12.44404471139778	0.2693232419124061	0.6686743089098734	0_none
Gm49890	0.7405345172926293	1.0347231790471954	0.2693324078448688	0.6686743089098734	0_none
Gm9899	0.15984628288082395	20.44119732795551	0.2693468701258808	0.6686743089098734	0_none
Foxr2	0.7672854748822528	0.8241719175213789	0.2691829461746886	0.6685852382850171	0_none
