dpi	gene	log2fold_change	base_mean	pvalue	padj
89	Ripor1	-0.00223187824946143	37.46367684457852	0.9909883522051148	0.999662388620542
89	Mprip	0.00140311702616855	115.85198020430528	0.9909546062188924	0.999662388620542
89	Zfp809	0.00354864396933696	10.541882771790146	0.9909430709279136	0.999662388620542
89	Glul	-0.00161525992653357	875.7990025705368	0.990876279735649	0.999662388620542
89	Stt3a	-0.00248826074008522	24.33262689258843	0.990747113410082	0.999662388620542
89	Trp53inp2	0.00160250976519838	109.96051183069768	0.990678626176852	0.999662388620542
89	Rnf167	0.0023971404001041	26.23856005433417	0.9904433523550016	0.999662388620542
89	Smarcc1	-0.00285236931083138	26.43710284583063	0.9903641671190688	0.999662388620542
89	Csad	-0.00339483918098923	16.606853656567868	0.9902613597921212	0.999662388620542
89	Got1	-0.00109727048777427	249.49061119064459	0.9901811190725376	0.999662388620542
89	Ptgds	-0.00419101491590328	943.596993834924	0.99006665536826155	0.999662388620542
89	Adipor1	-0.00324214099813478	18.817675993115312	0.9899495399811749	0.999662388620542
89	Cct3	0.00194894704465003	69.82937570089612	0.9895550117495604	0.999662388620542
89	Ddah1	0.0022293861321575	61.28485425289972	0.9895415722403844	0.999662388620542
89	Lmo3	0.00215742538833039	55.02310920020485	0.9893561223322332	0.999662388620542
89	Slc16a1	-0.00397463704453244	11.929635600252922	0.9893560139773576	0.999662388620542
89	Ndufab1	0.00174121086649639	545.7132236288429	0.9893400888534368	0.999662388620542
89	Sdhc	-0.00164051748712755	133.70002618926048	0.9892093873657216	0.999662388620542
89	Pomgnt2	0.00266366063928308	30.88023927538066	0.98920397418024	0.999662388620542
89	Ncam1	-0.00148676835980933	194.64879381415733	0.989183332795258	0.999662388620542
89	Snca	-0.002608458697727	240.35866337818103	0.9890653016200108	0.999662388620542
89	Cep85	0.00459422029845088	9.592009282857893	0.98897904814091675	0.999662388620542
89	Nyap1	0.00361340087774709	65.19018623690972	0.9886003098732752	0.999662388620542
89	Zfp207	0.00235415545587811	66.9087350537277	0.988568122328238	0.999662388620542
89	Rsl24d1	-0.00378476270359136	15.799874065745955	0.9885510866000456	0.999662388620542
89	Klhl7	-0.0028900308768758	25.25218303573688	0.9883489087448228	0.999662388620542
89	Gm8226	-0.02383686850015826	13.743917037400244	0.9882915077077172	0.999662388620542
89	Cep63	-0.00476381486634072	10.012618275123089	0.988235275702041	0.999662388620542
89	Spred3	0.00385775622083848	17.30460809794532	0.98816502316929955	0.999662388620542
89	Son	0.00267562901944224	405.4438830132183	0.9881457347092752	0.999662388620542
89	Spcs2	0.00228824207029323	89.57040416479646	0.9881206096604332	0.999662388620542
89	Elavl3	-0.00268288119226012	175.26634187302102	0.9879763521460192	0.999662388620542
89	Gpr37l1	0.00187547977921223	139.22144148044816	0.9879722607672944	0.999662388620542
89	Trib2	0.00298344574821379	39.72451791511087	0.987961918738611	0.999662388620542
89	Tmcc3	0.00349809423373314	31.428756814902115	0.9875993255832856	0.999662388620542
89	Borcs7	0.00367477351113849	24.627624489858565	0.9874220213272956	0.999662388620542
89	Tril	-0.00377643790969274	22.723638393294944	0.987160961914066	0.999662388620542
89	Pdk2	-0.00341961993876785	34.18730008560187	0.98715044118318	0.999662388620542
89	Rab28	-0.00276431819144916	42.36242933418971	0.9870236356525592	0.999662388620542
89	Slc35b2	-0.00441851219941337	14.578257514441768	0.9869263456357696	0.999662388620542
89	Scn1a	-0.00495532338672185	18.520843064663385	0.9867919116465932	0.999662388620542
89	Vstm2b	-0.00573099028617934	11.91749500298851	0.9867349204810532	0.999662388620542
89	Itgb1bp1	-0.00422851984893736	20.69927313709571	0.986647789020017	0.999662388620542
89	Iqsec2	-0.00253980216777377	99.91130450334968	0.9866279608415012	0.999662388620542
89	Igfbp4	0.00259026664744911	62.67473707366612	0.986474390654154	0.999662388620542
89	Lrrc45	0.00499181743474735	19.556601312398598	0.9863748133881458	0.999662388620542
89	Trim35	-0.00205985055039029	129.59921190831147	0.9862042865770008	0.999662388620542
89	Mthfsl	-0.00588738310481576	24.03341983842512	0.986187014480752	0.999662388620542
89	Mxd4	0.00456055620733064	21.639439704526183	0.986137572490743	0.999662388620542
89	Polr2a	0.00365715893257626	30.89626249939314	0.9859653883371532	0.999662388620542
89	Serpina1a	0.01675395615640847	15.588974798216698	0.9857860312466468	0.999662388620542
89	Plekhb1	-0.00258043487679885	136.57268150293967	0.9856583355536184	0.999662388620542
89	Rpl32	-0.00203580851812056	280.78716358704514	0.9855956785659667	0.999662388620542
89	Ykt6	0.00252411209745453	126.97067889654414	0.9853733832175652	0.999662388620542
89	Cacfd1	0.00312250141300194	38.30847300659082	0.9853008107040576	0.999662388620542
89	Arpc1a	-0.00271308211395459	154.52906473291284	0.9849169782301485	0.999662388620542
89	Atg10	0.00610142613498364	11.246899112731398	0.9848999653677228	0.999662388620542
89	Rad52	0.00789619253539393	9.082688810550785	0.9847641938371394	0.999662388620542
89	Hnrnph1	-0.00231354829808201	283.642566070671	0.9846049712985396	0.999662388620542
89	Nucks1	-0.00325102511407449	72.06133245022504	0.9845694023770488	0.999662388620542
89	Fam193b	0.00431610722592952	30.59268404387976	0.9842514634318692	0.999662388620542
89	Sar1b	0.0044475345706704	32.727038721149704	0.9841956113127968	0.999662388620542
89	Gtf2i	0.00316293027042595	114.32924899972666	0.9841732603517888	0.999662388620542
89	Plpbp	0.00497460062668978	25.04172656890548	0.9841657840647534	0.999662388620542
89	Ralyl	-0.00428416273035153	29.674492559933658	0.984071957417263	0.999662388620542
89	Ptges3	-0.00372602357768779	65.06648408063683	0.983922988747062	0.999662388620542
89	Bcl2l2	-0.0077162507602762	11.083472868504408	0.9839134539593972	0.999662388620542
89	Opalin	-0.00565395227783797	13.739660877818256	0.9839104897105252	0.999662388620542
89	Zfp638	0.00351263778710107	50.56350639535715	0.9838749700961162	0.999662388620542
89	Clec16a	-0.00388972039787213	31.03375702954151	0.9838475185718424	0.999662388620542
89	Cyfip2	-0.00262269087197349	603.6824763982748	0.9835265173109908	0.999662388620542
89	2510002D24Rik	-0.00616647044146506	13.24461853539378	0.9834743366872636	0.999662388620542
89	Tmem175	0.00532129085929042	17.973562853313467	0.9833985017832116	0.999662388620542
89	Adra2c	0.00553874841354386	19.50704183076509	0.9829246162521968	0.999662388620542
89	Utp15	0.00706528623169319	11.194226565577264	0.9826870851074327	0.999662388620542
89	Rrp1	0.00251508000138052	137.69276666712474	0.9826355218986224	0.999662388620542
89	Limk2	-0.00332603757514296	79.67291107511748	0.9825840032022086	0.999662388620542
89	Tollip	-0.00366628760749947	92.26187808118588	0.9825437574951532	0.999662388620542
89	Trim24	0.00673380880643798	12.770740304090168	0.9824049362608746	0.999662388620542
89	Apoa2	-0.01442590572685371	21.24704212375792	0.9821050533026774	0.999662388620542
89	Man2c1	-0.00598514205067352	16.682622413552668	0.9820130265147676	0.999662388620542
89	Lima1	0.00656643933998456	18.95711745836509	0.9819830508227394	0.999662388620542
89	Cops4	-0.00466197998200062	30.71686369463262	0.9819406962809848	0.999662388620542
89	Grpel1	0.00562864012909744	24.333788665380418	0.9818950576243584	0.999662388620542
89	Castor2	-0.00347034828906681	57.19843418951492	0.98189083302282	0.999662388620542
89	Clint1	0.00642619631816765	17.835079797305678	0.9818817578360842	0.999662388620542
89	Pkia	-0.00355200487882553	67.50677417087016	0.9818505883338334	0.999662388620542
89	Ankrd27	-0.00524361900274293	23.46427185512131	0.981645861847946	0.999662388620542
89	Cabin1	0.00588699689284455	26.790784752965735	0.9814406260444042	0.999662388620542
89	Kctd16	0.00882025986755325	10.344391684416255	0.9812456631305332	0.999662388620542
89	Pdpk1	0.00586167926178229	59.337852754663906	0.9811354483744558	0.999662388620542
89	Kif13a	-0.00491893993095846	30.04042870246557	0.9811320230139045	0.999662388620542
89	Phf23	0.00441399076382891	30.035414713884332	0.9810980360067962	0.999662388620542
89	1600014C10Rik	-0.00789924296712602	12.652674364666638	0.9810417283655152	0.999662388620542
89	Gm10053	-0.00423640816296662	284.88508173054424	0.9809469822264224	0.999662388620542
89	Rassf3	0.00576580741714375	41.70165326812173	0.9808778543664254	0.999662388620542
89	Pank1	0.00634737691447221	15.061928892114734	0.9808523299938724	0.999662388620542
89	Adra2a	0.00656116025551837	13.823029731128058	0.9808431026083476	0.999662388620542
89	Cdc25b	0.00670772838337223	15.841109746557208	0.9808016596037938	0.999662388620542
89	Pced1a	-0.00770778764975963	11.318438005088977	0.9806871465127492	0.999662388620542
89	Nim1k	0.00732836722633911	10.83142474212097	0.980377966508736	0.999662388620542
89	Zfp933	0.00823458274270227	11.51058091447313	0.980274071917862	0.999662388620542
89	Habp4	0.00295871911236518	236.01015935895128	0.9802712468672352	0.999662388620542
89	Csrp1	-0.0045842029586553	218.64100280684616	0.9802228568085096	0.999662388620542
89	Mto1	-0.00657737971758706	15.303687179809652	0.9798666830178224	0.999662388620542
89	Cs	0.00347903045536144	88.559694990067	0.9798051395228328	0.999662388620542
89	Tars2	0.00810603964630865	11.44275088972503	0.979800622686818	0.999662388620542
89	Axin2	-0.00892780413234163	11.252950377952144	0.9797708462211916	0.999662388620542
89	Cobl	-0.00528345775416898	37.355290339092925	0.9796661417124573	0.999662388620542
89	Cluap1	-0.00597218881795348	20.54053206302839	0.9794868726310684	0.999662388620542
89	Arf1	-0.00227167611630837	268.1727502206344	0.9793423808744324	0.999662388620542
89	Ppip5k1	-0.00783312852243096	13.043606801912158	0.9793169549047808	0.999662388620542
89	Naca	0.00290058550968345	291.9200610309332	0.9792581925596002	0.999662388620542
89	Rcan3	0.00694238312475994	18.643548944806273	0.9791341699286557	0.999662388620542
89	Dars	-0.00774560385106991	11.628854950968996	0.9790206157621918	0.999662388620542
89	Plxnb1	-0.00656801155657568	25.64040379050969	0.9789748885549056	0.999662388620542
89	Calm2	-0.00503395405826092	1089.0479130728795	0.9789253050987252	0.999662388620542
89	Mapk1	0.00446770558020106	230.781930672373	0.9787417815448184	0.999662388620542
89	Dlgap3	-0.00481692088476118	52.49019730577102	0.9787115600403836	0.999662388620542
89	Zscan21	0.00864947983624389	10.08810040423712	0.9786674762991838	0.999662388620542
89	Armcx4	0.00813775753647575	13.38118235192815	0.978659144519828	0.999662388620542
89	Fam208a	-0.00681116704135536	17.888551880586185	0.9785976358965888	0.999662388620542
89	Plp1	0.00591783505215689	1109.0772552574606	0.978467902823264	0.999662388620542
89	Ccdc12	-0.00675595334237496	38.26480553705576	0.9783273500191988	0.999662388620542
89	Sfpq	-0.00396477477940148	73.00314330111465	0.9782467943485692	0.999662388620542
89	Ppargc1b	0.0102620345718909	9.3327341556561	0.978156605062302	0.999662388620542
89	Slc7a4	-0.00613751574487988	33.89462844989642	0.9781328185137516	0.999662388620542
89	Ccni	0.0031765425352157	119.384249308237	0.9781117059792332	0.999662388620542
89	Igfbp2	-0.00643076332675689	47.783831831713925	0.9780529440857908	0.999662388620542
89	Bfar	0.00526082663429479	37.50331184255209	0.978030973569733	0.999662388620542
89	Zfp318	-0.00782384157746459	14.9003400957198	0.97800917952226	0.999662388620542
89	Ufsp1	-0.0091309379694725	10.3765615018983	0.977979310626416	0.999662388620542
89	Zfp322a	-0.00616567332134453	20.827523253300104	0.9777787909160458	0.999662388620542
89	Rlf	-0.00724435502567689	17.88471190778212	0.977711725731498	0.999662388620542
89	Comt	0.00728769430461231	27.50308041537201	0.9775290393632288	0.999662388620542
89	Pcyox1l	0.00572407317148757	47.72935156011343	0.9773311458339128	0.999662388620542
89	Galnt16	-0.00693434917374024	34.966446532642976	0.9771878438290762	0.999662388620542
89	Gm6472	0.01469845306962897	145.43127828095115	0.977059799039904	0.999662388620542
89	Gab2	-0.00536707201758143	42.49367459398575	0.9769605738104488	0.999662388620542
89	Pigq	0.00476587366524849	59.133700637870504	0.976801853273235	0.999662388620542
89	Phlda3	-0.00818686945944024	33.261526476594966	0.9767701716393732	0.999662388620542
89	Cops7b	0.00673707848707396	21.953690875089062	0.9767176033056334	0.999662388620542
89	Dicer1	0.00775320935485719	16.658751402062055	0.976655000582634	0.999662388620542
89	Kank1	-0.00950694058764228	12.153206954988814	0.9765934693169908	0.999662388620542
89	Ighm	0.00942436668479784	9.87725199082014	0.9765104720675808	0.999662388620542
89	Taf1d	-0.00855439504015492	18.019320196085644	0.9764657852273042	0.999662388620542
89	Ogdhl	0.0097957685877904	14.451988747895925	0.97635873874062	0.999662388620542
89	Uri1	0.00725003831928371	20.29755860605483	0.9763491983883918	0.999662388620542
89	Bcl7c	0.0087419770984518	16.33307981055099	0.976310602942512	0.999662388620542
89	Tmem191c	-0.00520357600195206	152.55712746996733	0.976212876327408	0.999662388620542
89	Neto2	0.00646043934980756	33.03323921250133	0.9760743021118538	0.999662388620542
89	Capn5	0.01085247705272889	10.047582326267165	0.97593335707421	0.999662388620542
89	Zfp316	-0.00875716450360891	12.91232032234654	0.975923724093803	0.999662388620542
89	Rnf40	-0.00792778758992996	15.343988548012518	0.9759073857084568	0.999662388620542
89	Mon2	-0.00608860269015355	31.548866303846378	0.975864571001292	0.999662388620542
89	Pomp	0.00402916697719926	680.1704810283742	0.9757489709596306	0.999662388620542
89	Cryab	0.00515314210599739	137.38198492238834	0.9755842326772212	0.999662388620542
89	Gm9385	-0.05783440436946756	35.76278874737522	0.9754850416687464	0.999662388620542
89	Arrb1	-0.00572467134629058	119.39326743743304	0.9752279005873672	0.999662388620542
89	Gm10036	-0.02870523751227936	17.781984770134443	0.9752206905811168	0.999662388620542
89	Arap2	-0.00521887950568831	44.717165029014616	0.975077697852656	0.999662388620542
89	Mfsd2a	-0.00900969891053269	15.186436770767152	0.9749301337788052	0.999662388620542
89	Timm8a1	-0.00887630315381468	20.2782878879605	0.9748531046759874	0.999662388620542
89	Enpp2	0.00528444822660588	129.5457420672577	0.9748371125195324	0.999662388620542
89	Ndufs2	-0.00589284596008447	120.55017889906443	0.974836287310384	0.999662388620542
