gene	meanexp	l2fc	pval	celltype	color
Cyp27a1	1.0331310004287169	5.999060173486959	2.621440861290743e-104	1_oligodendrocyte	#37FDFC
Cyp2d22	1.2244708810509448	6.02331468378981	3.095918042183427e-205	3_astrocyte	#F0A804
Cyp2j9	1.1677432024950578	6.097208726286555	4.2095884750978366e-212	3_astrocyte	#F0A804
Cyth1	2.206010470371277	2.1104956850138947	6.088381880378689e-5	1_oligodendrocyte	#37FDFC
Cyth4	2.56843667047323	8.599534939734808	1.0761949936563902e-225	2_microglia	#CD00CD
D7Ertd443e	5.830985002163001	7.923749144098226	1.1261003708202286e-267	1_oligodendrocyte	#37FDFC
Daam1	3.278652897664439	2.387545174799759	1.2691056319874357e-6	1_oligodendrocyte	#37FDFC
Daam2	3.241750464141631	5.143437265604641	6.348250116569199e-133	3_astrocyte	#F0A804
Dach1	1.0842274535100018	3.576531385682248	7.235868611064942e-47	3_astrocyte	#F0A804
Dapp1	1.6439071603678763	5.6917473764658775	5.9960340802685e-49	2_microglia	#CD00CD
Dbi	2.3311741850022716	3.104101517699667	2.985522578036996e-13	1_oligodendrocyte	#37FDFC
Dbndd2	5.8076493943504435	4.374031796481066	2.584590968324396e-37	1_oligodendrocyte	#37FDFC
Dbx2	1.7072470620942757	6.498382593778317	7.140934744776906e-253	3_astrocyte	#F0A804
Ddah1	1.3526990711199811	3.5081233209297245	9.93046360991961e-45	3_astrocyte	#F0A804
Ddhd1	4.122211308394462	2.712499342686092	1.1100933145328326e-22	3_astrocyte	#F0A804
Ddr1	2.272304810747863	3.423137953821126	1.56833516100065e-17	1_oligodendrocyte	#37FDFC
Degs1	1.631371127987029	2.954788222430424	1.4912804422932943e-11	1_oligodendrocyte	#37FDFC
Dio2	1.300206271345176	6.333592451045057	5.551300807817631e-234	3_astrocyte	#F0A804
Dip2a	2.6324156676734782	2.368993476937284	1.7129771467298814e-6	1_oligodendrocyte	#37FDFC
Dixdc1	2.4489129335110884	2.206734187945225	1.803423635751991e-5	1_oligodendrocyte	#37FDFC
Dleu2	6.508860057165704	2.264734613599215	0.00361603861908681	2_microglia	#CD00CD
Dlg5	1.3585097187498378	3.3153241288686024	2.399285129744875e-38	3_astrocyte	#F0A804
Dnajb2	2.2996180789830163	3.0742345303626752	6.420287613120068e-13	1_oligodendrocyte	#37FDFC
Dnm3	9.684807596934702	2.2646004769254824	7.932288358969016e-6	1_oligodendrocyte	#37FDFC
Dock1	2.82860356910353	4.1090704484805665	4.6195319197088514e-70	3_astrocyte	#F0A804
Dock10	13.222273599429332	5.973869716376153	4.305296517970102e-106	1_oligodendrocyte	#37FDFC
Dock2	3.181199968376487	8.29735340506006	2.356739172227771e-200	2_microglia	#CD00CD
Dock5	1.2139819609760436	5.419055961408005	9.120042448799987e-74	1_oligodendrocyte	#37FDFC
Dock8	4.314112076274951	9.350990723523298	8.857340980834391e-292	2_microglia	#CD00CD
Dpf3	1.2957744214579974	4.37869408192905	2.2034684881863672e-83	3_astrocyte	#F0A804
Dpyd	2.0301978796925706	2.6682012025658146	9.39279161941564e-9	1_oligodendrocyte	#37FDFC
Dscaml1	6.0492259706827225	2.249503073182043	1.0055854274113274e-5	1_oligodendrocyte	#37FDFC
Dtna	10.952873811173388	2.6641594770133024	1.102173765222337e-21	3_astrocyte	#F0A804
Dusp16	1.234400617812032	2.6539360368359146	1.203985354887538e-8	1_oligodendrocyte	#37FDFC
Dzip1l	1.5957614160434697	2.864052172128045	5.004503174180415e-26	3_astrocyte	#F0A804
E130114P18Rik	1.4562073873738657	4.543673849294698	1.509620815410721e-92	3_astrocyte	#F0A804
E130308A19Rik	1.800023929905064	2.4855299737871683	2.5840969520245173e-7	1_oligodendrocyte	#37FDFC
E230029C05Rik	3.22104573642995	3.0251515932493747	1.4690285829262415e-6	2_microglia	#CD00CD
E330020D12Rik	1.4849932244355273	6.542428227982672	1.8904394606359887e-139	1_oligodendrocyte	#37FDFC
Eci2	1.0147951386108691	3.7363151957276526	3.817129822710052e-53	3_astrocyte	#F0A804
Eda	1.439464843355635	2.2324614920624986	6.107541899370474e-14	3_astrocyte	#F0A804
Edil3	16.403341228059436	2.4880253510052484	2.312968711566051e-7	1_oligodendrocyte	#37FDFC
Ednrb	1.3134033354536636	5.249141345507954	1.7677428403511045e-139	3_astrocyte	#F0A804
Efcab14	1.5226484097694282	2.474191864702705	3.166712966102261e-7	1_oligodendrocyte	#37FDFC
Efnb3	2.289010984522762	5.809511559607878	4.5191101802239485e-95	1_oligodendrocyte	#37FDFC
Egfr	2.3815776438167737	4.070833251912252	7.626611266290376e-68	3_astrocyte	#F0A804
Elk3	1.2669877328351176	2.8424485166745312	1.5880687109281812e-5	2_microglia	#CD00CD
Elmo1	11.704963593867312	3.3244625473747145	1.47283210705022e-8	2_microglia	#CD00CD
Elovl7	2.1285786808114247	4.522313792183498	3.3287313409720783e-41	1_oligodendrocyte	#37FDFC
Endod1	1.1763267756421427	3.662706647515281	3.0760447628225887e-21	1_oligodendrocyte	#37FDFC
Enpp2	9.423607895850951	3.1201074915439824	1.6399843502818525e-13	1_oligodendrocyte	#37FDFC
Enpp6	1.2495157274178936	7.179181374967505	1.6351270101684378e-183	1_oligodendrocyte	#37FDFC
Entpd1	3.2393532514815413	6.192839694812223	1.3047294588590208e-67	2_microglia	#CD00CD
Epb41l2	6.3074773915982005	4.411571932980013	1.9594452407958455e-20	2_microglia	#CD00CD
Eps15	2.157621496184678	2.2865650842835983	8.338005239703634e-15	3_astrocyte	#F0A804
Eps8	1.818141794826791	4.507333892489193	1.331492147322479e-90	3_astrocyte	#F0A804
Erbin	4.998858441756093	4.752941056777868	6.7295491362535585e-49	1_oligodendrocyte	#37FDFC
Ermn	5.532660470468365	7.774608596624381	4.6400754256303265e-253	1_oligodendrocyte	#37FDFC
Errfi1	1.601140908775306	2.425977636827882	7.440951061046798e-7	1_oligodendrocyte	#37FDFC
Etnppl	1.2721378887263777	7.219647238625772	0	3_astrocyte	#F0A804
Etv4	1.0864926212301154	5.04209209877931	2.6860400291844047e-124	3_astrocyte	#F0A804
Eva1a	1.4617225783445769	6.803658441904419	1.1018645114096307e-284	3_astrocyte	#F0A804
Evi2a	1.652054962184524	6.229299307992031	1.9815319949647648e-119	1_oligodendrocyte	#37FDFC
Eya1	1.6647013031773603	4.545036026911334	9.360623162850706e-93	3_astrocyte	#F0A804
Ezr	1.4122828307142723	5.90038340629116	7.439912936371234e-194	3_astrocyte	#F0A804
F3	5.8137991675540395	6.233760673089378	2.0291189933692638e-228	3_astrocyte	#F0A804
Fa2h	3.7745345636813026	7.846359203356624	1.511349769910175e-259	1_oligodendrocyte	#37FDFC
Fabp5	1.4211465304886295	2.3333195767555965	1.6853450062808762e-15	3_astrocyte	#F0A804
Fads2	1.843255610854137	3.84134692814437	9.5064197745633e-58	3_astrocyte	#F0A804
Fam102b	1.8043671452318224	4.271104082667846	4.052888329955127e-18	2_microglia	#CD00CD
Fam107a	2.1926823530699138	5.909320405508987	6.99997512200671e-196	3_astrocyte	#F0A804
Fam184a	2.556783442689904	2.3847405058218554	2.1194392378585531e-16	3_astrocyte	#F0A804
Fam20a	2.406592974291071	4.9626830716943235	1.3118097697517233e-119	3_astrocyte	#F0A804
Fam228b	1.6804589916651067	2.879105704951366	2.1461713659559184e-26	3_astrocyte	#F0A804
Farp1	5.518637965067939	2.1470239229591757	8.888572719495438e-13	3_astrocyte	#F0A804
Fbxo2	1.1075685295824762	3.007670989110773	2.0662208316321323e-29	3_astrocyte	#F0A804
Fbxo7	2.0370924910917356	3.533486733221003	3.1255459349597297e-19	1_oligodendrocyte	#37FDFC
Fcer1g	1.8872894192890295	7.173552428109787	1.1574927588048828e-113	2_microglia	#CD00CD
Fchsd2	3.6081958341385985	2.3953855145168967	0.00129773660588587	2_microglia	#CD00CD
Fcrls	2.977663477508797	9.156816482935795	1.7035806099284118e-278	2_microglia	#CD00CD
Fermt2	2.8914373519484187	2.5170651467320493	9.524796959704723e-19	3_astrocyte	#F0A804
Fermt3	1.3106026951639085	7.466589711608855	2.8963113270534808e-130	2_microglia	#CD00CD
Fez1	3.529775859010947	2.3945599191505584	1.1382311802004048e-6	1_oligodendrocyte	#37FDFC
Fgd2	2.220593884492998	8.773054736226571	1.6890482235393626e-240	2_microglia	#CD00CD
Fgd6	1.4370027045294247	5.082749940590624	9.166993671593847e-128	3_astrocyte	#F0A804
Fgf1	1.4332602535135848	2.398125537335253	1.4136728142183576e-16	3_astrocyte	#F0A804
Fgfr1	1.8896423063399403	4.432864019927965	1.4627824183453637e-86	3_astrocyte	#F0A804
Fgfr3	2.0913407189830946	6.715080587990706	1.0915923709975878e-276	3_astrocyte	#F0A804
Fign	1.7586562615100745	5.626307337201711	1.2592608215251645e-84	1_oligodendrocyte	#37FDFC
Fjx1	3.787852855795093	3.8986621091642553	2.3599153316123633e-60	3_astrocyte	#F0A804
Fkbp5	2.980894215459078	2.9615008271014895	3.551321110548285e-6	2_microglia	#CD00CD
Fli1	2.5005911735173334	6.921234475129033	5.2364860345374315e-102	2_microglia	#CD00CD
Fmnl3	1.2804491409612877	4.825549548050418	3.829886859636702e-27	2_microglia	#CD00CD
Fnbp1	9.275373750768903	3.038404394669215	1.485647622440569e-12	1_oligodendrocyte	#37FDFC
Fnip2	1.61970332408075	2.184089839085204	2.476389925464684e-5	1_oligodendrocyte	#37FDFC
Foxn3	5.781405562027478	2.573313949520024	2.5963898821303e-4	2_microglia	#CD00CD
Foxo1	1.2459407316154991	4.000814687475964	1.6529295669882798e-64	3_astrocyte	#F0A804
Frmd4b	4.078427819967573	3.980071603853178	1.2773875419177029e-27	1_oligodendrocyte	#37FDFC
Frmpd1	1.6698225519358778	4.365672841295028	1.1293061995069275e-82	3_astrocyte	#F0A804
Fth1	19.697904767414258	2.832319001464186	2.4139524019476185e-10	1_oligodendrocyte	#37FDFC
Fxyd1	1.4853591110761963	3.667827276956153	1.7089295584270416e-50	3_astrocyte	#F0A804
Fyb	3.947423318918082	8.793739038497092	6.172104054903856e-247	2_microglia	#CD00CD
Fzd2	1.24466041942587	6.456063462234332	3.1606194457343245e-247	3_astrocyte	#F0A804
Gab1	2.769777540933765	5.510111620291836	6.53396577241107e-80	1_oligodendrocyte	#37FDFC
Gab2	4.409418845808235	2.948908510071874	3.971313635015442e-6	2_microglia	#CD00CD
Gabrg1	1.0618712329680116	5.051988125348683	9.400944895198807e-125	3_astrocyte	#F0A804
Gal3st1	1.276828995653047	4.761389309051094	2.3548912578523432e-48	1_oligodendrocyte	#37FDFC
