gene	gene_length_bp	base_mean	log2fold_change	padj
Tmem134	6372	85.63211896921133	0.00168314097446436	0.996915647568536
Gm15543	5355	1.333271973465228	-0.01263384852697545	0.9969120686022992
Gm1600	23486	1.198421366041091	-0.01217454449525454	0.9969120686022992
Ift122	73229	37.22548399440202	-0.00246346594127134	0.9969120686022992
Uhrf2	63209	77.19822114397668	0.00160215819122273	0.9969120686022992
Wdr54	7037	24.73225817452203	0.00270437352478009	0.9969120686022992
Cbln4	7233	10.152478044083722	0.00427842503158539	0.996878860099768
Cps1	108233	8.397294285932304	-0.00801357529655959	0.996878860099768
Cwf19l1	27239	28.184906094406344	-0.00266948972838555	0.996878860099768
Gls2	15547	41.88996162759954	-0.00249597989751155	0.996878860099768
Kansl3	33451	180.64396876218723	0.00135472569415982	0.996878860099768
Nfkbib	9261	64.07739431115607	-0.00182584147099906	0.996878860099768
Nsun5	6852	8.142127029648298	-0.00542201068950171	0.996878860099768
Rbak	8589	23.264556640844187	0.00333480051656175	0.996878860099768
Sh2d3c	34457	19.202266763454553	-0.00372245676567383	0.996878860099768
Sun2	18466	102.9528063889748	-0.00145841042696121	0.996878860099768
Tmprss6	28967	2.0270103666904804	-0.00991341448019195	0.996878860099768
Zfp626	15720	5.797332539830159	0.00608887943035729	0.996878860099768
4930578M01Rik	13098	4.25737065211501	0.00765897908605847	0.9968766325441226
Alpk2	128537	2.464441624664553	0.01027249556658967	0.9968766325441226
Atg16l1	36558	63.91353789377664	-0.00206656859700734	0.9968766325441226
Atp1b1	21246	292.0560342717359	-0.00145913919708032	0.9968766325441226
BC022960	1814	4.147729837890064	0.00757372656156515	0.9968766325441226
Carlr	2573	2.3582696233578835	-0.0103070353821874	0.9968766325441226
Ccdc74a	4268	42.260276177024885	-0.00259302917794026	0.9968766325441226
Cd36	107111	3.606720609744945	-0.00994128008947347	0.9968766325441226
Col7a1	31289	5.8996920724227175	-0.00703910449083624	0.9968766325441226
Comp	8508	4.3844176060685935	-0.00760634864626942	0.9968766325441226
Cyp2f2	13751	15.99725585497855	-0.00551913109473705	0.9968766325441226
Dnase2a	14355	18.27436832212964	0.00374183906200322	0.9968766325441226
Enkur	24634	4.027853962571265	-0.00744240489251087	0.9968766325441226
Epha4	147903	38.4129107674091	-0.00286688571029802	0.9968766325441226
Fam114a2	35624	107.87397139303694	-0.00196070821874721	0.9968766325441226
Glb1l	12577	1.7121229332453294	0.01093359306568803	0.9968766325441226
Gm11772	888	3.3658999434127685	-0.00915491700252816	0.9968766325441226
Gm16793	6469	0.8923194839945108	-0.01730955580506936	0.9968766325441226
Gm26902	6738	2.0639663584991066	-0.01110872338643251	0.9968766325441226
Gm48992	1100	1.612520883612452	0.01267909727429057	0.9968766325441226
Gm6030	389	1.896517263744179	0.01378997514624617	0.9968766325441226
Gprc5c	21465	11.077595637329496	-0.00528635099642253	0.9968766325441226
Grid1	763271	67.91810664130912	-0.00228193919525626	0.9968766325441226
Huwe1	134610	121.45010360846824	-0.00139433519150279	0.9968766325441226
Hydin	343276	1.283743229738729	-0.0132835186134992	0.9968766325441226
Kcnmb1	10628	1.955257342520445	0.01231938842276578	0.9968766325441226
Mapk3	6218	255.86783024077948	-0.00248725538743595	0.9968766325441226
Mup21	2931	1.6962270147850174	-0.01147266603091505	0.9968766325441226
Npas1	22007	3.2590860779373396	0.00849384773171223	0.9968766325441226
Ppp1r3b	12400	7.128466722999208	-0.00637957761259508	0.9968766325441226
Prss35	14794	3.0733294996439677	0.00829906430546666	0.9968766325441226
Psd4	47374	1.5946105081898847	-0.01151701824950075	0.9968766325441226
Scn2b	12288	195.36210039336308	-0.00168832293961638	0.9968766325441226
Slc17a6	49113	82.11167122783452	-0.00215458160008046	0.9968766325441226
St6galnac6	21097	280.73523638013535	-0.00183004595948983	0.9968766325441226
Tgds	20844	2.4672481374627684	0.00925660821696561	0.9968766325441226
Tmem53	16631	4.082358396920673	0.00763753560508348	0.9968766325441226
Tmem74bos	6978	2.2555213389854982	0.01066339902981473	0.9968766325441226
Wdr45	13873	33.8468433680554	0.00273924957153806	0.9968766325441226
Zxdc	33998	16.335195389154723	0.00450400404264836	0.9968766325441226
Eif2ak4	86616	17.965422626196297	-0.00426940994939293	0.9968266661897744
Tctn2	28991	14.402667834023166	-0.00433232853333667	0.9967130183868156
Stim1	169513	66.82052334394918	-0.00258949158745662	0.9965974479844872
Zdhhc24	6729	24.01252032514691	0.0035461339577313	0.9965974479844872
Kif9	48221	4.4075252691403755	-0.00847398369047148	0.996569342527969
A130010J15Rik	9786	8.387897739699554	0.00563737426273992	0.996490604924424
Pmf1	16188	9.158161940887654	0.00535242588886156	0.996490604924424
Prpf31	12501	48.766453132092174	-0.00239991564310664	0.996490604924424
Rfc2	20439	48.03827643397668	0.00280273674040148	0.996490604924424
Polh	31290	3.1753191183846385	0.01054172621688266	0.9963995916269348
Ryr3	585741	8.445390327918137	0.0062988195044484	0.9963995916269348
Tlx3	2837	7.257407477038437	0.00683711461159417	0.9963995916269348
Dapk2	114019	4.093209797512322	-0.00822897128505795	0.9963709525208396
