FeatureID,FeatureName,microglia Average,microglia Log2 Fold Change,microglia P-Value
ENSMUSG00000021556,Golm1,1.979903907197079,4.268762128441219,3.922079298723113e-18
ENSMUSG00000040339,Fam102b,1.8043671452318226,4.271104082667846,4.052888329955127e-18
ENSMUSG00000022912,Pros1,1.1754501575771616,4.244513371586548,1.1107200795282237e-17
ENSMUSG00000028413,B4galt1,1.6471378983181575,4.228917836167622,1.9127464924943638e-17
ENSMUSG00000055485,Soga1,1.268603101810258,4.216322209134988,2.2369843454159187e-17
ENSMUSG00000014361,Mertk,6.83731841544425,4.191905935268143,2.812962947549979e-17
ENSMUSG00000027508,Pag1,5.746405900899436,4.184502644459412,3.505385438814125e-17
ENSMUSG00000021190,Lgmn,4.277497046171769,4.183638148078174,3.6136549827196634e-17
ENSMUSG00000036353,P2ry12,5.776559455102057,4.172221289015336,5.1485416339351334e-17
ENSMUSG00000026748,Plxdc2,13.573407041779703,4.161689635525295,6.271559542562512e-17
ENSMUSG00000039115,Itga9,1.214757469305578,4.187149356388675,6.840746584857167e-17
ENSMUSG00000052384,Nrros,1.3235256469650314,4.16801725410641,9.355176194249918e-17
ENSMUSG00000007891,Ctsd,4.432034011460201,4.151197542588934,9.885895071901964e-17
ENSMUSG00000034663,Bmp2k,2.6260514972532376,4.137821910635583,1.514473736729613e-16
ENSMUSG00000039976,Tbc1d16,1.1679117690265064,4.153717641290569,1.5621878016419154e-16
ENSMUSG00000089794,Gm16337,1.1996806922042675,4.080112618038453,1.459191672348912e-15
ENSMUSG00000042228,Lyn,5.451870291098837,4.037385530983768,2.431249040547453e-15
ENSMUSG00000063506,Arhgap22,1.8043671452318226,4.026685980838239,5.50584795759315e-15
ENSMUSG00000061132,Blnk,1.7747520473542486,4.022889609011967,5.50584795759315e-15
ENSMUSG00000048897,Zfp710,2.9098179805529005,3.949837560494191,2.860148591866567e-14
ENSMUSG00000075284,Wipf1,1.6541378305437657,3.9441670776936464,3.910917053559453e-14
ENSMUSG00000052331,Ankrd44,3.6959642151212266,3.863833476663661,2.419946057439009e-13
ENSMUSG00000016256,Ctsz,1.4952932146549602,3.8609087345569173,3.164806700859761e-13
ENSMUSG00000030671,Pde3b,4.592493996324147,3.8426313258930387,4.095779410878023e-13
ENSMUSG00000028868,Wasf2,2.039134102952227,3.81384857302308,9.163844497968267e-13
ENSMUSG00000027339,Rassf2,1.0930663398450016,3.8146837887088125,1.0790429852661977e-12
ENSMUSG00000029919,Hpgds,3.130585073822088,3.7071084109073267,9.469314842665156e-12
ENSMUSG00000027447,Cst3,37.10879455325023,3.6875340250409843,1.3276879955696056e-11
ENSMUSG00000038608,Dock10,4.300650668148782,3.661412561766584,2.80907565855734e-11
ENSMUSG00000041235,Chd7,1.327294841240359,3.6539351310145225,3.424001697354365e-11
ENSMUSG00000064090,Vrk2,1.1969884105790336,3.649996964123734,4.468181914379969e-11
ENSMUSG00000022747,St3gal6,3.335736933664918,3.6342720294610484,4.5339072071322165e-11
ENSMUSG00000030287,Itpr2,1.6923682296220885,3.63385329384818,5.0792659534002823e-11
ENSMUSG00000059182,Skap2,2.096748929732234,3.6095434307142797,8.303802702146558e-11
ENSMUSG00000062127,Cttnbp2nl,1.992826858998202,3.533160754173558,3.916681908790794e-10
ENSMUSG00000056069,Otulinl,3.4229668583224995,3.479133206769016,1.0009472379064655e-09
ENSMUSG00000036833,Pnpla7,1.8323668741342563,3.4524926914352525,1.7540075760222398e-09
ENSMUSG00000015243,Abca1,1.2136805566554845,3.4481352209913174,2.0158932444250334e-09
ENSMUSG00000037860,Aim2,1.4215246981235488,3.4401981698769717,2.3566177533807453e-09
ENSMUSG00000024985,Tcf7l2,1.1684502253515534,3.4378590703638654,2.605586343601821e-09
ENSMUSG00000052062,Pard3b,1.559907973660576,3.4328532079754472,2.6413851065927145e-09
ENSMUSG00000030064,Frmd4b,3.0751240723422675,3.4208610455207076,3.0166610867294634e-09
ENSMUSG00000003283,Hck,1.0413745326405088,3.4078380161434834,4.859704303183045e-09
ENSMUSG00000101674,4930444A19Rik,1.198603779554174,3.389702459757199,6.326292562797164e-09
ENSMUSG00000079484,Phyhd1,1.9513657219695988,3.3528391876347583,1.010253848987441e-08
ENSMUSG00000084960,B430010I23Rik,1.4096786589725192,3.3409057738133106,1.3305968667505715e-08
ENSMUSG00000041112,Elmo1,11.704963593867312,3.3244625473747145,1.4728321070502201e-08
ENSMUSG00000026393,Nek7,1.7090603756985392,3.331660632461935,1.4920701926158903e-08
ENSMUSG00000030342,Cd9,1.3843712116953195,3.3343652692119297,1.545530768535742e-08
ENSMUSG00000038175,Mylip,1.3579868517680265,3.3332377323090907,1.5647504292308317e-08
ENSMUSG00000035181,Heatr5a,1.2082959934050164,3.330179110590921,1.634697824882981e-08
