ensembl_gene_id	Gene	log2FC	padj	gene_biotype
ENSG00000078674	PCM1	-6.15e-02	8.89e-01	protein_coding
ENSG00000087995	METTL2A	 2.53e-02	9.49e-01	protein_coding
ENSG00000258644	SYNJ2BP-COX16	-4.19e-01	2.30e-01	protein_coding
ENSG00000126777	KTN1	 6.26e-02	8.95e-01	protein_coding
ENSG00000214595	EML6	-1.23e-01	8.19e-01	protein_coding
ENSG00000167130	DOLPP1	 6.79e-02	7.82e-01	protein_coding
ENSG00000142949	PTPRF	-2.85e-02	9.37e-01	protein_coding
ENSG00000134508	CABLES1	 7.16e-03	9.86e-01	protein_coding
ENSG00000020426	MNAT1	-2.44e-01	5.26e-01	protein_coding
ENSG00000005007	UPF1	 1.77e-01	6.42e-01	protein_coding
ENSG00000213463	SYNJ2BP	-3.15e-01	3.19e-01	protein_coding
ENSG00000121774	KHDRBS1	 3.18e-01	2.78e-02	protein_coding
ENSG00000185519	FAM131C	 5.00e-02	9.36e-01	protein_coding
ENSG00000133983	COX16	 2.51e-01	4.17e-01	protein_coding
ENSG00000253352	TUG1	 2.08e-02	9.74e-01	protein_coding
ENSG00000140545	MFGE8	 2.71e-01	3.39e-01	protein_coding
ENSG00000166483	WEE1	 3.05e-01	1.27e-01	protein_coding
ENSG00000124523	SIRT5	-3.25e-01	2.33e-01	protein_coding
ENSG00000096968	JAK2	-3.85e-01	3.35e-01	protein_coding
ENSG00000125744	RTN2	 3.07e-01	1.16e-01	protein_coding
ENSG00000266962	AC067852.2	-1.44e-01	5.64e-01	lncRNA
ENSG00000197724	PHF2	 5.26e-01	2.35e-02	protein_coding
ENSG00000159216	RUNX1	 2.83e-01	3.91e-01	protein_coding
ENSG00000137077	CCL21	 6.13e-02	9.14e-01	protein_coding
ENSG00000090097	PCBP4	-1.85e-01	6.67e-01	protein_coding
ENSG00000006327	TNFRSF12A	-4.38e-01	2.24e-03	protein_coding
ENSG00000126814	TRMT5	 1.22e-01	8.26e-01	protein_coding
ENSG00000206262	FOXL2NB	 2.17e-02	9.75e-01	protein_coding
ENSG00000108786	HSD17B1	 1.59e-01	7.51e-01	protein_coding
ENSG00000261071	AL441883.1	 5.31e-02	9.22e-01	lncRNA
ENSG00000277496	AL357033.4	 1.72e-01	6.92e-01	lncRNA
ENSG00000167046	AL357033.1	 2.18e-02	9.76e-01	lncRNA
ENSG00000232803	SLCO4A1-AS1	-3.32e-03	9.97e-01	lncRNA
ENSG00000101361	NOP56	-4.40e-01	9.68e-04	protein_coding
ENSG00000163602	RYBP	 1.58e-01	7.58e-01	protein_coding
ENSG00000068120	COASY	 5.63e-02	8.00e-01	protein_coding
ENSG00000152520	PAN3	 1.24e-01	7.64e-01	protein_coding
ENSG00000136213	CHST12	 3.57e-01	8.58e-02	protein_coding
ENSG00000111845	PAK1IP1	-3.26e-01	3.90e-01	protein_coding
ENSG00000265681	RPL17	 7.88e-02	7.95e-01	protein_coding
ENSG00000112146	FBXO9	 3.01e-02	9.36e-01	protein_coding
ENSG00000164074	ABHD18	 8.77e-02	8.75e-01	protein_coding
ENSG00000101187	SLCO4A1	 1.15e-01	6.34e-01	protein_coding
ENSG00000072954	TMEM38A	-2.10e-01	4.82e-01	protein_coding
ENSG00000120708	TGFBI	 5.37e-01	5.84e-03	protein_coding
ENSG00000163026	WDCP	-2.03e-01	6.76e-01	protein_coding
ENSG00000111802	TDP2	-9.76e-02	8.23e-01	protein_coding
ENSG00000166734	CASC4	-5.26e-02	9.01e-01	protein_coding
ENSG00000112851	ERBIN	-2.86e-01	3.00e-01	protein_coding
ENSG00000132386	SERPINF1	-2.44e-01	5.95e-01	protein_coding
ENSG00000242612	DECR2	-1.44e-01	4.87e-01	protein_coding
ENSG00000177576	C18orf32	 2.09e-01	5.24e-01	protein_coding
ENSG00000139974	SLC38A6	 6.22e-02	9.09e-01	protein_coding
ENSG00000108784	NAGLU	-1.03e-01	7.01e-01	protein_coding
ENSG00000105556	MIER2	 2.42e-02	9.60e-01	protein_coding
ENSG00000166938	DIS3L	-2.80e-01	3.38e-01	protein_coding
ENSG00000128881	TTBK2	-1.26e-02	9.81e-01	protein_coding
ENSG00000068971	PPP2R5B	 2.28e-01	5.40e-01	protein_coding
ENSG00000104388	RAB2A	-2.47e-01	2.75e-01	protein_coding
ENSG00000108443	RPS6KB1	-7.21e-02	8.90e-01	protein_coding
ENSG00000179476	C14orf28	 3.19e-01	4.65e-01	protein_coding
ENSG00000135334	AKIRIN2	 3.26e-01	3.26e-01	protein_coding
ENSG00000174353	STAG3L3	 1.34e-01	6.38e-01	transcribed_unprocessed_pseudogene
ENSG00000139496	NUP58	-1.47e-01	6.63e-01	protein_coding
ENSG00000156482	RPL30	 4.35e-01	9.50e-03	protein_coding
ENSG00000136826	KLF4	 1.56e-01	6.82e-01	protein_coding
ENSG00000147459	DOCK5	-8.24e-02	8.03e-01	protein_coding
ENSG00000229018	PMS2P7	 2.37e-01	6.05e-01	unprocessed_pseudogene
ENSG00000099991	CABIN1	 4.01e-01	2.53e-02	protein_coding
ENSG00000254996	ANKHD1-EIF4EBP3	 3.40e-01	4.14e-01	protein_coding
ENSG00000114786	ABHD14A-ACY1	-1.07e-01	8.47e-01	protein_coding
ENSG00000163513	TGFBR2	 8.86e-02	8.32e-01	protein_coding
ENSG00000107882	SUFU	 5.41e-01	3.93e-02	protein_coding
ENSG00000112144	ICK	 1.09e-01	8.47e-01	protein_coding
ENSG00000142619	PADI3	-3.67e-01	2.30e-01	protein_coding
ENSG00000183963	SMTN	 2.86e-01	1.65e-01	protein_coding
ENSG00000181404	WASHC1	-2.61e-01	5.12e-01	protein_coding
ENSG00000112679	DUSP22	-9.00e-02	7.25e-01	protein_coding
ENSG00000189050	RNFT1	 1.54e-01	7.49e-01	protein_coding
ENSG00000137267	TUBB2A	-8.74e-02	7.73e-01	protein_coding
ENSG00000275874	PICSAR	 1.83e-02	9.74e-01	lncRNA
ENSG00000133302	SLF1	 1.86e-01	4.76e-01	protein_coding
ENSG00000103202	NME4	-1.89e-01	2.50e-01	protein_coding
ENSG00000214944	ARHGEF28	-3.57e-01	1.71e-01	protein_coding
ENSG00000111843	TMEM14C	-5.92e-02	8.22e-01	protein_coding
ENSG00000248487	ABHD14A	-1.26e-01	5.67e-01	protein_coding
ENSG00000188162	OTOG	 6.22e-01	6.62e-02	protein_coding
ENSG00000235944	ZNF815P	-6.23e-02	9.11e-01	transcribed_unprocessed_pseudogene
ENSG00000175471	MCTP1	 1.67e-01	7.18e-01	protein_coding
ENSG00000013306	SLC25A39	-2.15e-01	1.44e-01	protein_coding
ENSG00000235374	SSR4P1	-2.46e-02	9.72e-01	transcribed_processed_pseudogene
ENSG00000106003	LFNG	 7.76e-02	8.97e-01	protein_coding
ENSG00000124177	CHD6	-2.76e-01	2.55e-01	protein_coding
ENSG00000114779	ABHD14B	-2.53e-02	9.31e-01	protein_coding
ENSG00000197381	ADARB1	 3.82e-01	1.31e-01	protein_coding
ENSG00000100311	PDGFB	 9.49e-02	8.26e-01	protein_coding
ENSG00000081386	ZNF510	-5.77e-01	1.00e-01	protein_coding
ENSG00000101367	MAPRE1	-1.17e-02	9.77e-01	protein_coding
ENSG00000010322	NISCH	 2.34e-01	3.62e-01	protein_coding
ENSG00000127445	PIN1	-5.16e-01	1.80e-03	protein_coding
ENSG00000198718	TOGARAM1	 4.57e-02	9.44e-01	protein_coding
ENSG00000265933	LINC00668	 5.19e-02	9.15e-01	lncRNA
ENSG00000100285	NEFH	 1.00e-01	7.74e-01	protein_coding
ENSG00000171421	MRPL36	 2.17e-02	9.40e-01	protein_coding
ENSG00000179454	KLHL28	 1.35e-01	7.96e-01	protein_coding
ENSG00000182534	MXRA7	-1.24e-01	6.10e-01	protein_coding
ENSG00000142627	EPHA2	 3.77e-02	9.22e-01	protein_coding
ENSG00000149743	TRPT1	-1.32e-01	6.12e-01	protein_coding
ENSG00000156011	PSD3	 3.20e-01	2.42e-01	protein_coding
ENSG00000099917	MED15	 1.04e-02	9.81e-01	protein_coding
ENSG00000047056	WDR37	 3.94e-02	9.35e-01	protein_coding
ENSG00000008853	RHOBTB2	 3.53e-01	2.57e-02	protein_coding
ENSG00000178031	ADAMTSL1	 2.84e-01	3.18e-01	protein_coding
ENSG00000186073	C15orf41	 7.52e-02	8.63e-01	protein_coding
ENSG00000179051	RCC2	 7.00e-01	5.89e-10	protein_coding
ENSG00000205268	PDE7A	 1.71e-01	6.36e-01	protein_coding
ENSG00000120889	TNFRSF10B	 5.81e-02	8.01e-01	protein_coding
ENSG00000155229	MMS19	-5.38e-02	8.54e-01	protein_coding
ENSG00000106689	LHX2	 3.07e-01	4.80e-01	protein_coding
ENSG00000142961	MOB3C	-5.05e-02	9.19e-01	protein_coding
ENSG00000043514	TRIT1	-2.72e-01	4.10e-01	protein_coding
ENSG00000160867	FGFR4	-6.46e-02	8.47e-01	protein_coding
ENSG00000180229	HERC2P3	 6.01e-03	9.93e-01	transcribed_unprocessed_pseudogene
ENSG00000273387	AC005005.3	 1.87e-01	6.81e-01	lncRNA
ENSG00000278920	AC005005.4	 4.57e-01	2.28e-01	lncRNA
ENSG00000131899	LLGL1	 1.61e-01	4.32e-01	protein_coding
ENSG00000103145	HCFC1R1	 1.30e-01	5.22e-01	protein_coding
ENSG00000131503	ANKHD1	-1.97e-01	3.52e-01	protein_coding
ENSG00000066855	MTFR1	 1.11e-01	7.74e-01	protein_coding
ENSG00000133111	RFXAP	 1.31e-01	8.07e-01	protein_coding
ENSG00000177731	FLII	 3.69e-02	9.14e-01	protein_coding
ENSG00000185049	NELFA	 2.22e-01	3.33e-01	protein_coding
ENSG00000149761	NUDT22	-4.09e-01	9.60e-03	protein_coding
ENSG00000112304	ACOT13	-9.23e-02	7.15e-01	protein_coding
ENSG00000141858	SAMD1	 6.46e-01	3.79e-05	protein_coding
ENSG00000104833	TUBB4A	 3.27e-01	4.49e-01	protein_coding
ENSG00000180822	PSMG4	-8.44e-02	7.55e-01	protein_coding
ENSG00000196597	ZNF782	 8.82e-02	8.76e-01	protein_coding
ENSG00000079277	MKNK1	 1.16e-01	7.37e-01	protein_coding
ENSG00000213523	SRA1	-2.49e-01	2.47e-01	protein_coding
ENSG00000144736	SHQ1	 2.03e-01	5.75e-01	protein_coding
ENSG00000112308	C6orf62	 3.99e-01	7.90e-02	protein_coding
ENSG00000110025	SNX15	 5.68e-02	8.37e-01	protein_coding
ENSG00000261971	MMP25-AS1	-2.05e-01	6.21e-01	lncRNA
ENSG00000110011	DNAJC4	 6.06e-03	9.86e-01	protein_coding
ENSG00000221869	CEBPD	-3.36e-01	5.56e-02	protein_coding
ENSG00000132109	TRIM21	-4.82e-01	2.44e-03	protein_coding
ENSG00000213465	ARL2	-1.44e-01	3.44e-01	protein_coding
ENSG00000173402	DAG1	 4.32e-01	3.72e-02	protein_coding
ENSG00000167173	C15orf39	 8.94e-01	5.00e-09	protein_coding
ENSG00000131652	THOC6	-4.12e-01	1.14e-02	protein_coding
ENSG00000141524	TMC6	-2.75e-01	4.86e-01	protein_coding
ENSG00000180884	ZNF792	-1.40e-01	7.96e-01	protein_coding
ENSG00000166411	IDH3A	-4.23e-01	4.02e-02	protein_coding
ENSG00000175906	ARL4D	-2.03e-01	4.62e-01	protein_coding
ENSG00000168301	KCTD6	 1.33e-01	8.05e-01	protein_coding
ENSG00000115257	PCSK4	 2.02e-01	6.66e-01	protein_coding
ENSG00000164506	STXBP5	-1.17e-01	7.76e-01	protein_coding
ENSG00000198853	RUSC2	 1.56e-01	4.53e-01	protein_coding
ENSG00000042753	AP2S1	-4.37e-02	8.67e-01	protein_coding
ENSG00000105677	TMEM147	-9.05e-02	6.30e-01	protein_coding
ENSG00000186615	KTN1-AS1	 4.29e-01	2.09e-01	lncRNA
ENSG00000167114	SLC27A4	 1.82e-01	4.04e-01	protein_coding
ENSG00000137266	SLC22A23	-2.53e-01	5.57e-01	protein_coding
ENSG00000236144	TMEM147-AS1	 1.58e-01	6.49e-01	lncRNA
ENSG00000250722	SELENOP	 4.93e-01	1.29e-03	protein_coding
ENSG00000151366	NDUFC2	 1.50e-01	4.84e-01	protein_coding
ENSG00000184831	APOO	-2.62e-01	2.82e-01	protein_coding
ENSG00000197702	PARVA	 2.42e-01	1.05e-01	protein_coding
ENSG00000099994	SUSD2	 4.82e-01	1.75e-01	protein_coding
ENSG00000243989	ACY1	-4.41e-01	5.58e-03	protein_coding
ENSG00000140548	ZNF710	-1.54e-01	6.80e-01	protein_coding
ENSG00000151364	KCTD14	-1.45e-02	9.79e-01	protein_coding
ENSG00000164620	RELL2	-1.64e-01	6.30e-01	protein_coding
ENSG00000182185	RAD51B	 1.16e-01	8.00e-01	protein_coding
