FeatureID,FeatureName,oligodendrocyte Average,oligodendrocyte Log2 Fold Change,oligodendrocyte P-Value
ENSMUSG00000020321,Mdh1,2.108160023975436,0.3192892292262356,0.8510200715744319
ENSMUSG00000015709,Arnt2,1.6167863731041803,0.31675654443321904,0.8541311619894845
ENSMUSG00000061136,Prpf40a,1.005552554832057,0.31639254905038916,0.8545609338818344
ENSMUSG00000028410,Dnaja1,1.4359354125568535,0.31618177954976634,0.8545609338818344
ENSMUSG00000064138,Fam172a,1.9890953886590874,0.3129928342121687,0.857290127613345
ENSMUSG00000040433,Zbtb38,1.1657196811818888,0.30959416510681176,0.8609935542313858
ENSMUSG00000024462,Gabbr1,1.7647553408247203,0.3048285545994198,0.8651573344800101
ENSMUSG00000026812,Tsc1,1.0050222001090443,0.30459622681529414,0.8657548743803087
ENSMUSG00000028134,Ptbp2,1.0323354683441979,0.2994249974609585,0.8711223407501846
ENSMUSG00000038665,Dgki,4.901273172721758,0.29287075625806214,0.8768438004012333
ENSMUSG00000025019,Lcor,1.2123908968070054,0.2886432255897128,0.8822942012701328
ENSMUSG00000032740,Ccdc88a,2.3118162376123084,0.2842166913676366,0.8862032388492511
ENSMUSG00000019370,Calm3,1.06627817061701,0.28287331854383907,0.8881407496515051
ENSMUSG00000036712,Cyld,1.1625375528438127,0.28112745164534214,0.8902040021098203
ENSMUSG00000086503,Xist,8.654858724844061,0.27998814257056814,0.8905829068034768
ENSMUSG00000059586,Nsmce2,1.1948891909475867,0.27646784913526173,0.8956096205431129
ENSMUSG00000026004,Kansl1l,1.7618383898481504,0.27620597997615715,0.8956727622142031
ENSMUSG00000032532,Cck,2.912708138785684,0.27439988191531484,0.8977935087651728
ENSMUSG00000021488,Nsd1,2.0537986648666355,0.27229615967028253,0.8997094430994096
ENSMUSG00000071424,Grid2,5.798103009336215,0.2701470224537683,0.9017675980460893
ENSMUSG00000022995,Enah,1.9076859386766398,0.26976529356787216,0.9025267611437318
ENSMUSG00000022858,Tra2b,1.0352524193207675,0.2666050328210066,0.9061231928694609
ENSMUSG00000048388,Fam171b,1.7918034316983673,0.26574947566957197,0.9064643322033294
ENSMUSG00000040225,Prrc2c,1.7790749183460628,0.26330170044683276,0.9089736114360618
ENSMUSG00000039195,1110008P14Rik,1.056466608241275,0.26197301894962755,0.9106351947311915
ENSMUSG00000058317,Ube2e2,6.908135444601771,0.2565332651210257,0.9152751310122448
ENSMUSG00000051451,Crebzf,1.3208484376631002,0.2555590723350031,0.9165477469320461
ENSMUSG00000021910,Nisch,1.3860820685936608,0.25569281070704586,0.9165477469320461
ENSMUSG00000004535,Tax1bp1,1.1015467596973536,0.2543271886968438,0.917788479763592
ENSMUSG00000022762,Ncam2,6.5681780671506385,0.25393321983042183,0.917788479763592
ENSMUSG00000036469,March1,5.198271817608864,0.2529775627300306,0.9188003330561222
ENSMUSG00000034868,Myl12b,1.011651634146703,0.25215572969501254,0.9203273930452319
ENSMUSG00000048874,Phf3,1.6226202750573198,0.24882258356979936,0.9230885870254906
ENSMUSG00000055430,Nap1l5,1.473325420529248,0.24838801811930405,0.9235447001065226
ENSMUSG00000020680,Taf15,1.1293903826555198,0.2456387191061093,0.9261241035021714
ENSMUSG00000042757,Tmem108,1.9967855321427714,0.24523675676270873,0.926359492402332
ENSMUSG00000029238,Clock,1.090409310514087,0.24475016801731206,0.9270556214540916
ENSMUSG00000031592,Pcm1,1.8164649263184574,0.2433943226111921,0.9281221679526106
ENSMUSG00000051285,Pcmtd1,1.4929485452807176,0.24161474935092225,0.9298234536120704
ENSMUSG00000024121,Atp6v0c,5.216569055552802,0.23865659647238147,0.9327548539812757
ENSMUSG00000073725,Lmbrd1,1.2439470028262605,0.2376756245227004,0.934088595411357
ENSMUSG00000032407,U2surp,1.2054962854078406,0.23615153202395753,0.9357567791382471
ENSMUSG00000029223,Uchl1,1.329068935869797,0.23420150634079273,0.9380441199302857
ENSMUSG00000037475,Thoc2,1.030214049452147,0.2306953357956861,0.9418889881731612
ENSMUSG00000025224,Gbf1,1.0705210084011114,0.22930233367023267,0.9433715055942581
ENSMUSG00000025261,Huwe1,1.502494930294946,0.2230181667555718,0.9511501508947082
ENSMUSG00000019841,Rev3l,1.319787728217075,0.2215861040555638,0.9524362120697685
ENSMUSG00000028484,Psip1,1.6915663890489694,0.21518781145048105,0.9583217002592979
ENSMUSG00000004637,Wwox,2.0614888083503193,0.2108487542991696,0.9630462269469385
ENSMUSG00000033066,Gas7,1.691301211687463,0.21088569669883717,0.9630462269469385
ENSMUSG00000039197,Adk,1.2070873495768786,0.2099776520493829,0.9642116654590815
ENSMUSG00000069729,Arid1b,1.738237604674086,0.2073954606450592,0.9666808357332162
ENSMUSG00000020994,Pnn,1.4133953368288144,0.20546425851147626,0.9687896214192172
ENSMUSG00000028580,Pum1,1.201253447623739,0.201003127296133,0.9732919783222396
ENSMUSG00000032212,Sltm,1.407031080152662,0.19496907333641628,0.9787702812434537
ENSMUSG00000024576,Csnk1a1,2.072095902810573,0.19042892159319524,0.9825522307124719
ENSMUSG00000031840,Rab3a,1.4510505221627152,0.18879762389597693,0.9843515914078845
ENSMUSG00000014602,Kif1a,1.2882316221978198,0.18545522887330942,0.9874771549686095
