FeatureID,FeatureName,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value
ENSMUSG00000035615,Frmpd1,1.6698225519358778,4.365672841295028,1.1293061995069275e-82
ENSMUSG00000025666,Tmem47,3.6178667912335283,4.345442024492295,5.660282853789013e-82
ENSMUSG00000070509,Rgma,1.551935344936925,4.3414581012543865,1.4560139514160085e-81
ENSMUSG00000026421,Csrp1,2.4512069298220034,4.311851575290077,3.354710039667846e-80
ENSMUSG00000031765,Mt1,10.242497517035169,4.304637324311977,3.6928159498655746e-80
ENSMUSG00000015305,Sash1,3.56557096256482,4.278980168984708,1.2024718008886656e-78
ENSMUSG00000027447,Cst3,37.679784711899224,4.271929031077143,1.9822575866007494e-78
ENSMUSG00000087413,Gm11266,1.3239412896298441,4.280276412700486,4.5395194804970995e-78
ENSMUSG00000022708,Zbtb20,19.228220891619515,4.245466036054059,3.2472907259373404e-77
ENSMUSG00000039533,Mmd2,2.80870948738775,4.242144649578326,1.152486731642512e-76
ENSMUSG00000030287,Itpr2,1.7546186131105632,4.239032546249719,3.703289878886686e-76
ENSMUSG00000015243,Abca1,1.394850887824703,4.198055239766194,5.08637554876513e-74
ENSMUSG00000026510,Trp53bp2,1.3387141225871064,4.185463745177134,2.2197776550065942e-73
ENSMUSG00000053279,Aldh1a1,1.7024212699949033,4.183822740673824,3.0784421503973466e-73
ENSMUSG00000052430,Bmpr1b,3.6869051639204673,4.174649063670884,3.24746992799708e-73
ENSMUSG00000022272,Myo10,2.4530781553299232,4.150675442216157,6.038491677654467e-72
ENSMUSG00000027253,Lrp4,1.287107692789737,4.148742288221888,2.1772613781834428e-71
ENSMUSG00000026701,Prdx6,7.060724754700023,4.130940781534967,2.8812306830935254e-71
ENSMUSG00000040759,Cmtm5,1.1457809241652612,4.144333342924251,4.054206617679816e-71
ENSMUSG00000054226,Tprkb,2.8128458806157832,4.128943785641648,7.44850751052862e-71
ENSMUSG00000005089,Slc1a2,52.99379578316253,4.107709368640219,2.650976352841586e-70
ENSMUSG00000036833,Pnpla7,2.0267341961833343,4.117452582617286,3.190302743419576e-70
ENSMUSG00000055137,Sugct,1.0134163408681913,4.127802303253648,4.251824279475866e-70
ENSMUSG00000058325,Dock1,2.82860356910353,4.1090704484805665,4.6195319197088514e-70
ENSMUSG00000024347,Psd2,1.254410489177663,4.081553526793064,2.834794297982838e-68
ENSMUSG00000112117,Rmst,5.178271893732617,4.0677108416867,5.018026692303346e-68
ENSMUSG00000020122,Egfr,2.3815776438167737,4.070833251912252,7.626611266290376e-68
ENSMUSG00000063297,Luzp2,21.866550372233505,4.034504154637702,1.316113643162353e-66
ENSMUSG00000064373,Selenop,1.3924872345515409,4.005017733403078,1.0912004131638607e-64
ENSMUSG00000044167,Foxo1,1.2459407316154993,4.000814687475964,1.6529295669882798e-64
ENSMUSG00000002459,Rgs20,7.2920673188107505,3.958903579412357,4.0040066016470905e-63
ENSMUSG00000028015,Ctso,1.4424194099470875,3.9598696459971676,8.34945685496176e-63
ENSMUSG00000023951,Vegfa,2.020825063000429,3.9548543551311752,1.0664092191997706e-62
ENSMUSG00000031431,Tsc22d3,1.4816166600603566,3.9433216051768967,5.790751629000249e-62
ENSMUSG00000032883,Acsl3,10.39968045970044,3.9270135407463727,8.124397587683114e-62
ENSMUSG00000075012,Fjx1,3.787852855795093,3.8986621091642553,2.359915331612363e-60
ENSMUSG00000033350,Chst2,1.6794741361346226,3.8964242486067002,5.848489641751241e-60
ENSMUSG00000024665,Fads2,1.843255610854137,3.84134692814437,9.506419774563299e-58
