gene	log2FoldChange	pvalue	padj	baseMean	is_astro	neg_log10p
Fggy	0.11676519210418627	0.40832346172690354	0.7780358442043402	19.065069847898062	FALSE	0.3889956653726367
Fgl1	0.17716419803142536	0.3890261791122497	0.76497826881694	21.579070482750243	FALSE	0.4100211722952817
Fgl2	0.664094627668726	0.0073906876839239	0.09875216735115348	8.549670699434548	FALSE	2.131315149773188
Fgr	-0.09392242651834674	0.777752863115854	0.9451428041992704	2.709432177931099	FALSE	0.10915838146242487
Fh1	0.02939664497141861	0.5794863372560513	0.8750835884035012	151.1999027998989	FALSE	0.2369567990865007
Fhad1	0.6591194484242977	0.00286590280959317	0.05197245779621597	9.906690458823526	FALSE	2.542738541772967
Fhdc1	-0.10011207837145417	0.6564119541114155	0.9056373201191932	6.932461691487571	FALSE	0.1828235184822128
Fhip1a	-0.26028495622177855	0.28745554869351286	0.6856233343152629	7.215915450812701	FALSE	0.5414293038427875
Fhip1b	0.03195277301446884	0.6943855418686613	0.9195181805247642	64.45491511864952	FALSE	0.15839933038920925
Fhip2a	0.00564100093314263	0.9741101985972372	0.9954205103004132	14.59083996642472	FALSE	0.01139190971735104
Fhip2b	-0.0207051598822623	0.8207025475983669	0.9589458864803748	120.03322699284112	FALSE	0.08581421845174379
Fhit	-0.4671610948767346	0.04516460863546135	0.296366526324645	6.898758087364093	FALSE	1.3452017487039154
Fhl1	-0.0990440560958055	0.25040262545832476	0.6517226257269509	62.99237035486818	FALSE	0.6013611218829925
Fhl2	0.12635741908113657	0.24510793208722376	0.6468564117673431	63.53412789543184	FALSE	0.6106426340520019
Fhod1	0.2348285261832256	0.1503458649438641	0.5304337257570036	15.022123366968223	FALSE	0.8229085120713313
Fhod3	-0.14036341776047337	0.2714625975826161	0.6706761185427481	23.69068627692156	FALSE	0.5662899995280376
Fibcd1	-0.5301393424768543	0.00262043011455482	0.04931410990276533	12.375076523841992	FALSE	2.581627418204442
Fibin	0.03692280985227324	0.8822749194329176	0.9755090069865896	6.652708266593028	FALSE	0.05439606635493514
Fibp	-0.2416914925081764	0.04355192368406763	0.2915409552528964	52.675155645271175	FALSE	1.3609926574892812
Ficd	-0.09530662772615542	0.605378212061215	0.8855370434876726	11.709885760415252	FALSE	0.21797321362698935
Fig4	0.00877542149290493	0.9471201648050364	0.9901578096327884	21.189764879907784	FALSE	0.02359491687737235
Fign	-0.13224962362736015	0.5066085979982519	0.8395405557544173	14.294149134250317	FALSE	0.2953274437766012
Fignl1	0.46481051435660936	0.39065873494070696	0.7659849649258157	1.145989407214477	FALSE	0.4082024606308988
Fignl2	0.0537714934676213	0.7979482867176032	0.952144159234816	10.297746780459583	FALSE	0.0980252534123319
Filip1	0.2353410015256383	0.5086246990112033	0.8409105668957829	3.7123876499604993	FALSE	0.29360255414099246
Filip1l	0.7382643775728027	0.00652094136757742	0.09145498910557716	5.466478507096274	FALSE	2.185689704692412
Fip1l1	0.13303422038926985	0.00554331769590518	0.08194637737730459	182.0675415596809	FALSE	2.2562302306219113
Firre	-0.1314446829118893	0.15401195496985143	0.5349091987850882	66.1117127201172	FALSE	0.8124455663328716
Fis1	-0.02379717254592433	0.7032662955365334	0.9223818749909544	127.76121829939726	FALSE	0.15288019591412524
Fitm2	0.10913128486012078	0.39067285799671386	0.7659849649258157	26.701192828739593	FALSE	0.4081867603434728
Fiz1	0.12724273466964253	0.3984910785282354	0.7723998272692864	17.94042296433231	FALSE	0.39958139720219615
Fjx1	0.15508346179144014	0.5789778086270494	0.8750835884035012	38.28495898698365	TRUE	0.2373380818261274
Fkbp10	0.32157066797596423	0.06106387152591309	0.3466350872425117	13.806385966282608	FALSE	1.2142156643505144
Fkbp11	-0.3867154164280368	0.20996208624058868	0.6053581691080158	4.211106330674334	FALSE	0.6778591206139645
Fkbp14	-0.04477696290424435	0.7822539959242076	0.9474174929674136	13.345435966517142	FALSE	0.10665220970506592
Fkbp15	-0.00312829318493667	0.9737350516586156	0.9952170907729648	41.87044010098196	FALSE	0.01155919636123538
Fkbp1a	0.07492664566219141	0.11263286780148478	0.4645592085726042	1237.2801862727615	FALSE	0.9483348579580612
Fkbp1b	-0.06405000300875434	0.5290086210271592	0.8500635119538013	47.86316635707796	FALSE	0.27653725039578647
Fkbp2	-0.11651107377580452	0.4726608608665172	0.8200367126092863	191.39366517611316	FALSE	0.32545035837710024
Fkbp3	-0.10176067383107984	0.27203975458885554	0.6712870573522443	82.6064861389658	FALSE	0.5653676256092496
Fkbp4	-0.02325161711669857	0.6335549594165513	0.8972319294969551	235.01933679637463	FALSE	0.19821570511197564
Fkbp5	1.2550379649153978	2.063644876179902e-9	4.3198966074699283e-7	87.1275845666762	TRUE	8.685365036494897
Fkbp7	-0.1642840090497116	0.4618752896200166	0.8131613966147858	6.6575578377209	FALSE	0.3354752719356091
Fkbp8	-0.10401862584991683	0.09718349304948128	0.43570685038260304	239.73502199151497	FALSE	1.0124074952210311
Fkbp9	-0.21473070210195844	0.01437255739455349	0.15511455055602297	52.12169184143044	FALSE	1.842465948391634
